method,samples,accuracy,latency_ms,rtf,dense_size_mb,linear_sparsity
distilled-tiny,9,0.9285714285714286,41.33378888888868,0.021106657820105332,72.022705078125,1.125408001574034e-06
pruned-20-recovery,9,0.9007936507936508,43.27342222222126,0.022016725206195596,72.022705078125,0.19999998902040975
pruned-10,9,0.8915343915343915,85.72757777777795,0.04366275725945538,72.022705078125,0.09999999451020487
pruned-20,9,0.8690476190476191,111.49622222222257,0.057478799132694464,72.022705078125,0.19999998902040975
tiny-baseline,9,0.832010582010582,93.69997777777783,0.049740680118255394,72.022705078125,1.0705100502777398e-06
pruned-30,9,0.8068783068783069,122.10603333333363,0.06308049810467224,72.022705078125,0.3000000109795903
